iter	Logloss
0	0.6444038104
1	0.6018971456
2	0.5636150011
3	0.5319803194
4	0.5068974081
5	0.4830694767
6	0.4616279687
7	0.4424240209
8	0.4295981201
9	0.4107098638
10	0.4009230323
11	0.3921857002
12	0.3844023299
13	0.3765094338
14	0.3690856268
15	0.363897552
16	0.3581981192
17	0.3464338181
18	0.3419603146
19	0.3363185314
20	0.3327886337
21	0.3288652864
22	0.3256992387
23	0.3219046431
24	0.3176064568
25	0.3155445998
26	0.3135324657
27	0.3086270083
28	0.3042684224
29	0.3016459362
30	0.2991357782
31	0.2957861475
32	0.2936713742
33	0.2919167188
34	0.2870632663
35	0.2857031548
36	0.2815290737
37	0.2801332587
38	0.2760979424
39	0.2752076234
40	0.2743202772
41	0.2714389393
42	0.2703941733
43	0.2681242767
44	0.267301004
45	0.2651164211
46	0.2642855577
47	0.2617087501
48	0.2603282417
49	0.2596118227
50	0.2588952047
51	0.2583958509
52	0.2571042451
53	0.2564155902
54	0.2553584832
55	0.2548700888
56	0.252759186
57	0.2522984085
58	0.2518229947
59	0.2494229288
60	0.2488975739
61	0.2473800451
62	0.2469326848
63	0.2464501337
64	0.2460221611
65	0.2456334259
66	0.2440569169
67	0.2435457849
68	0.2429738589
69	0.242486518
70	0.2420138184
71	0.2416975711
72	0.2406796406
73	0.2403865842
74	0.2400240256
75	0.2394914756
76	0.2391664243
77	0.2386270438
78	0.2382907111
79	0.2366917374
80	0.2363186458
81	0.236011299
82	0.2351144568
83	0.234831352
84	0.2335000741
85	0.2332363523
86	0.2328885226
87	0.2326458998
88	0.232330854
89	0.2320335169
90	0.2309031041
91	0.2306459632
92	0.2304743554
93	0.230208638
94	0.2299779262
95	0.2296179147
96	0.2290427237
97	0.2288230764
98	0.2284611011
99	0.2278619229
100	0.2276185587
101	0.2273702215
102	0.2261423798
103	0.2258797963
104	0.2257334952
105	0.2255849357
106	0.2253552249
107	0.2244157425
108	0.2242012603
109	0.2240237902
110	0.2237718726
111	0.2236225731
112	0.2233613802
113	0.2230762846
114	0.2227657487
115	0.2226001601
116	0.222335467
117	0.2221412528
118	0.2219480084
119	0.2217799698
120	0.2216187945
121	0.2213986185
122	0.2202986267
123	0.220167698
124	0.2197530029
125	0.2191842376
126	0.219005592
127	0.2188519178
128	0.2185758234
129	0.2184226104
130	0.2181867993
131	0.2180451021
132	0.2178660531
133	0.2177014259
134	0.2175061124
135	0.2173181122
136	0.2170827271
137	0.2169286523
138	0.2167596907
139	0.2166389094
140	0.2160463687
141	0.2158868081
142	0.2157113539
143	0.2149892534
144	0.2148362417
145	0.2146798173
146	0.2144553253
147	0.2143158115
148	0.2141510734
149	0.213986039
150	0.2138275596
151	0.2136843115
152	0.2135324256
153	0.2133507623
154	0.2131208353
155	0.2129536758
156	0.2127971841
157	0.2126553701
158	0.2124361516
159	0.2122916845
160	0.2121696386
161	0.211989701
162	0.2118462743
163	0.2116116602
164	0.2114920307
165	0.2114017981
166	0.2112423196
167	0.2110706256
168	0.2109397397
169	0.2107483642
170	0.2106333258
171	0.2099990994
172	0.2096769874
173	0.2095042436
174	0.2093721838
175	0.2091824819
176	0.2087349536
177	0.2085883952
178	0.2080701125
179	0.207939804
180	0.2078064944
181	0.2070912732
182	0.2067872681
183	0.2064126019
184	0.2063033266
185	0.2060378338
186	0.2059283033
187	0.2057241131
188	0.2055463563
189	0.205406794
190	0.2052894333
191	0.2050990291
192	0.2049704784
193	0.2048175531
194	0.2046399805
195	0.2044611976
196	0.2041132406
197	0.2039508205
198	0.2037973214
199	0.203660163
200	0.2034322832
201	0.2033248142
202	0.2029137213
203	0.2026002654
204	0.2024517547
205	0.2023270293
206	0.2020968117
207	0.2019624022
208	0.2017100344
209	0.2015859818
210	0.201245907
211	0.2011037761
212	0.200980056
213	0.2008160717
214	0.2007180554
215	0.2004236626
216	0.2002877355
217	0.2001360831
218	0.1999826951
219	0.1998200165
220	0.1996975747
221	0.1994375628
222	0.1993472268
223	0.1990185218
224	0.1988558569
225	0.1986931176
226	0.198521714
227	0.198358869
228	0.1982148524
229	0.1981019875
230	0.1979875435
231	0.1978391869
232	0.197693514
233	0.1975479571
234	0.197412896
235	0.1973329265
236	0.1972063354
237	0.1970512899
238	0.1969182296
239	0.1967719339
240	0.1966706481
241	0.1965402507
242	0.1958915442
243	0.1957626483
244	0.1956138785
245	0.1954836703
246	0.1953957798
247	0.1952795499
248	0.1946654977
249	0.1945791322
250	0.1944229387
251	0.1942850106
252	0.1941584762
253	0.1935575055
254	0.1934249783
255	0.192905584
256	0.1927502807
257	0.1925663047
258	0.1922450512
259	0.1920760154
260	0.1917192904
261	0.1915725005
262	0.1914032662
263	0.1911918333
264	0.191054426
265	0.1909247775
266	0.190767675
267	0.190426852
268	0.1902480406
269	0.1901172459
270	0.1899382196
271	0.1898020675
272	0.1896786379
273	0.1895207578
274	0.1891934504
275	0.1890314157
276	0.1889226376
277	0.1888296032
278	0.1886689121
279	0.1885383715
280	0.1884189482
281	0.1881467653
282	0.1880046782
283	0.1879214731
284	0.1877215005
285	0.1875922927
286	0.187489996
287	0.1873804585
288	0.1872062444
289	0.1868056918
290	0.1866303189
291	0.186459749
292	0.1863575646
293	0.1862441994
294	0.1861463102
295	0.1860517788
296	0.1859204333
297	0.1858005175
298	0.1856581434
299	0.1854931039
300	0.1853841371
301	0.1852233876
302	0.1851124917
303	0.1850039735
304	0.1849262858
305	0.1848312737
306	0.1847403981
307	0.184656748
308	0.1844930429
309	0.1844312519
310	0.1842813022
311	0.1841381177
312	0.184001137
313	0.1838023175
314	0.1836765539
315	0.1835270711
316	0.1833943461
317	0.1831725941
318	0.1830384908
319	0.1829602727
320	0.182814128
321	0.1827132014
322	0.1824912564
323	0.1824072193
324	0.1822982418
325	0.1821812639
326	0.1820652938
327	0.181934208
328	0.1817763341
329	0.1816219396
330	0.1815059749
331	0.1813976323
332	0.181281491
333	0.1812077415
334	0.1810659692
335	0.1808943964
336	0.1807616129
337	0.1806700169
338	0.1805461786
339	0.1804052476
340	0.1802856115
341	0.1801777984
342	0.1800931357
343	0.1799684492
344	0.1798555509
345	0.1797242128
346	0.1795835938
347	0.1794935604
348	0.1794098858
349	0.1793092498
350	0.1792176287
351	0.1790863463
352	0.1790006298
353	0.1788764404
354	0.1787509554
355	0.1785811286
356	0.1784712701
357	0.1783705884
358	0.1782508561
359	0.1781559777
360	0.1777885635
361	0.1776543135
362	0.1775447246
363	0.177417419
364	0.1773565511
365	0.1772348625
366	0.1771341382
367	0.1770167317
368	0.1769197583
369	0.1767963443
370	0.1766863718
371	0.1766139112
372	0.176547386
373	0.1764622671
374	0.1763929637
375	0.1762710684
376	0.1761834505
377	0.1760994846
378	0.1759819591
379	0.1758647233
380	0.1757733353
381	0.17565717
382	0.1755352635
383	0.1754663288
384	0.1753960544
385	0.175322377
386	0.1751968208
387	0.1751081726
388	0.175031689
389	0.1748810211
390	0.1747772887
391	0.1747144172
392	0.174569993
393	0.1743810265
394	0.1742632175
395	0.1741481106
396	0.1740441044
397	0.1739883201
398	0.1738863677
399	0.1737846204
400	0.1736516784
401	0.1735651275
402	0.1734589565
403	0.1733638743
404	0.1732872876
405	0.173196653
406	0.173116351
407	0.1730034207
408	0.1729154739
409	0.1727558016
410	0.1726670557
411	0.1725816592
412	0.1724501308
413	0.1723650472
414	0.1722368351
415	0.1721486318
416	0.1720326816
417	0.1719365766
418	0.1718275655
419	0.171743463
420	0.1716478522
