iter	Passed	Remaining
0	60	60459
1	121	60561
2	173	57650
3	237	59081
4	285	56802
5	332	55097
6	379	53888
7	426	52917
8	482	53157
9	531	52573
10	579	52118
11	625	51530
12	673	51138
13	728	51278
14	773	50817
15	816	50192
16	863	49957
17	909	49608
18	964	49794
19	1010	49531
20	1056	49258
21	1103	49072
22	1148	48795
23	1198	48745
24	1254	48936
25	1300	48708
26	1345	48501
27	1394	48409
28	1451	48592
29	1498	48451
30	1546	48341
31	1589	48088
32	1635	47932
33	1688	47976
34	1733	47806
35	1776	47579
36	1821	47405
37	1868	47294
38	1926	47472
39	1978	47480
40	2030	47487
41	2079	47432
42	2123	47257
43	2179	47355
44	2223	47177
45	2271	47103
46	2315	46951
47	2363	46867
48	2416	46904
49	2459	46727
50	2502	46573
51	2550	46498
52	2596	46402
53	2650	46432
54	2691	46252
55	2733	46073
56	2777	45955
57	2822	45839
58	2866	45724
59	2919	45735
60	2963	45615
61	3008	45517
62	3051	45389
63	3106	45433
64	3148	45290
65	3189	45137
66	3237	45086
67	3281	44981
68	3325	44875
69	3378	44880
70	3423	44794
71	3467	44690
72	3511	44594
73	3565	44621
74	3608	44506
75	3654	44429
76	3699	44348
77	3744	44262
78	3798	44279
79	3845	44224
80	3887	44107
81	3932	44020
82	3976	43933
83	4030	43949
84	4079	43910
85	4124	43832
86	4166	43722
87	4209	43621
88	4265	43660
89	4308	43560
90	4356	43515
91	4399	43419
92	4442	43328
93	4498	43360
94	4539	43246
95	4584	43172
96	4633	43131
97	4679	43071
98	4732	43072
99	4775	42980
100	4818	42886
101	4862	42808
102	4912	42783
103	4971	42828
104	5011	42719
105	5056	42645
106	5098	42551
107	5147	42511
108	5191	42434
109	5251	42488
110	5304	42481
111	5354	42450
112	5402	42408
113	5453	42387
114	5496	42296
115	5538	42210
116	5580	42116
117	5625	42047
118	5676	42027
119	5717	41930
120	5760	41847
121	5801	41753
122	5852	41730
123	5895	41647
124	5945	41621
125	5999	41618
126	6048	41574
127	6098	41545
128	6144	41483
129	6186	41400
130	6231	41334
131	6273	41255
132	6323	41222
133	6364	41129
134	6407	41057
135	6452	40989
136	6498	40938
137	6547	40900
138	6598	40874
139	6640	40791
140	6686	40734
141	6730	40664
142	6784	40660
143	6832	40617
144	6876	40548
145	6921	40485
146	6966	40422
147	7013	40377
148	7061	40329
149	7105	40265
150	7148	40190
151	7189	40112
152	7242	40093
153	7287	40033
154	7333	39977
155	7375	39901
156	7419	39840
157	7461	39762
158	7510	39726
159	7557	39676
160	7599	39604
161	7644	39542
162	7694	39510
163	7739	39451
164	7780	39371
165	7824	39309
166	7868	39245
167	7911	39183
168	7958	39132
169	8001	39064
170	8042	38988
171	8086	38929
172	8153	38976
173	8207	38961
174	8260	38944
175	8315	38930
176	8376	38948
177	8439	38974
178	8498	38980
179	8553	38967
180	8617	38990
181	8678	39004
182	8732	38987
183	8790	38982
184	8849	38985
185	8910	38995
186	8961	38960
187	9017	38946
188	9075	38944
189	9132	38933
190	9187	38913
191	9245	38908
192	9298	38881
193	9357	38876
194	9416	38873
195	9473	38858
196	9538	38879
197	9599	38884
198	9653	38857
199	9706	38826
200	9757	38787
201	9812	38764
202	9873	38766
203	9949	38821
204	10020	38859
205	10078	38846
206	10135	38828
207	10200	38838
208	10261	38838
209	10319	38819
210	10378	38808
211	10439	38805
212	10496	38781
213	10556	38771
214	10608	38732
215	10666	38715
216	10720	38683
217	10773	38646
218	10825	38607
219	10885	38593
220	10943	38573
221	11001	38553
222	11055	38519
223	11122	38532
224	11177	38499
225	11231	38466
226	11289	38442
227	11351	38436
228	11406	38402
229	11457	38358
230	11517	38342
231	11574	38316
232	11639	38315
233	11693	38280
234	11750	38250
235	11801	38205
236	11860	38183
237	11914	38147
238	11972	38121
239	12028	38090
240	12082	38051
241	12138	38019
242	12194	37989
243	12249	37953
244	12310	37936
245	12367	37906
246	12419	37860
247	12472	37821
248	12546	37841
249	12599	37799
250	12652	37756
251	12711	37730
252	12769	37703
253	12835	37696
254	12887	37652
255	12951	37640
256	13022	37647
257	13079	37615
258	13138	37588
259	13204	37581
260	13274	37585
261	13329	37547
262	13387	37514
263	13443	37478
264	13496	37434
265	13563	37427
266	13624	37404
267	13683	37374
268	13752	37373
269	13807	37331
270	13867	37305
271	13929	37282
272	13997	37276
273	14053	37237
274	14115	37214
275	14174	37183
276	14229	37140
277	14284	37098
278	14337	37051
279	14395	37016
280	14448	36969
281	14518	36964
282	14574	36925
283	14626	36875
284	14687	36848
285	14743	36806
286	14802	36775
287	14857	36731
288	14913	36690
289	14972	36656
290	15029	36618
291	15088	36584
292	15147	36550
293	15206	36517
294	15264	36480
295	15319	36436
296	15376	36397
297	15440	36373
298	15493	36323
299	15553	36291
300	15608	36246
301	15677	36233
302	15740	36207
303	15794	36160
304	15847	36112
305	15903	36069
306	15958	36022
307	16011	35973
308	16072	35941
309	16130	35904
310	16186	35859
311	16248	35829
312	16304	35785
313	16378	35783
314	16431	35732
315	16491	35695
316	16546	35651
317	16610	35624
318	16673	35593
319	16726	35542
320	16774	35482
321	16818	35412
322	16873	35365
323	16915	35292
324	16957	35218
325	17000	35147
326	17049	35090
327	17090	35015
328	17135	34947
329	17177	34875
330	17221	34807
331	17268	34744
332	17312	34677
333	17354	34605
334	17397	34536
335	17439	34463
336	17488	34405
337	17533	34341
338	17577	34274
339	17624	34212
340	17667	34143
341	17717	34088
342	17759	34017
343	17804	33952
344	17854	33897
345	17908	33849
346	17961	33800
347	18004	33731
348	18045	33660
349	18090	33596
350	18131	33524
351	18178	33465
352	18222	33399
353	18266	33333
354	18314	33275
355	18355	33205
356	18404	33148
357	18447	33081
358	18506	33044
359	18563	33001
360	18627	32972
361	18687	32935
362	18744	32892
363	18802	32852
364	18861	32813
365	18919	32773
366	18973	32725
367	19032	32686
368	19091	32647
369	19149	32606
370	19202	32555
371	19252	32501
372	19306	32453
373	19365	32413
374	19414	32357
375	19470	32312
376	19530	32275
377	19585	32227
378	19638	32177
379	19694	32133
380	19753	32092
381	19813	32054
382	19874	32016
383	19928	31968
384	19989	31930
385	20041	31879
386	20097	31834
387	20149	31781
388	20204	31735
389	20270	31704
390	20325	31657
391	20380	31609
392	20449	31585
393	20513	31550
394	20568	31503
395	20625	31458
396	20686	31420
397	20737	31366
398	20790	31316
399	20848	31272
400	20957	31305
401	21016	31263
402	21073	31217
403	21129	31171
404	21190	31131
405	21246	31084
406	21301	31036
407	21356	30987
408	21411	30939
